# wavelength(micron) (rp/rs)^2 std((rp/rs)^2)
3.36376000e+00 2.13510000e-02 9.25000000e-05
3.38739000e+00 2.12959000e-02 9.21000000e-05
3.41086000e+00 2.11763000e-02 9.46000000e-05
3.43417000e+00 2.12591000e-02 9.54000000e-05
3.45732000e+00 2.11571000e-02 9.54000000e-05
3.48032000e+00 2.12523000e-02 9.82000000e-05
3.50317000e+00 2.11163000e-02 9.81000000e-05
3.52587000e+00 2.12337000e-02 1.00000000e-04
3.54842000e+00 2.11404000e-02 1.00700000e-04
3.57083000e+00 2.11792000e-02 1.02500000e-04
3.59310000e+00 2.13587000e-02 1.03700000e-04
3.61523000e+00 2.10406000e-02 1.04800000e-04
3.63722000e+00 2.12611000e-02 1.06100000e-04
3.65908000e+00 2.11282000e-02 1.06700000e-04
3.68080000e+00 2.12862000e-02 1.12400000e-04
3.70240000e+00 2.09193000e-02 1.12200000e-04
3.72386000e+00 2.10696000e-02 1.12700000e-04
3.74520000e+00 2.10921000e-02 1.13600000e-04
3.76642000e+00 2.10808000e-02 1.16500000e-04
3.78752000e+00 2.08071000e-02 1.16100000e-04
3.80849000e+00 2.11900000e-02 1.17800000e-04
3.82935000e+00 2.10884000e-02 1.22100000e-04
3.85009000e+00 2.10311000e-02 1.22300000e-04
3.87071000e+00 2.09872000e-02 1.24700000e-04
3.89123000e+00 2.09495000e-02 1.25100000e-04
3.91163000e+00 2.09479000e-02 1.28100000e-04
3.93192000e+00 2.10816000e-02 1.29600000e-04
3.95210000e+00 2.10065000e-02 1.33900000e-04
3.97218000e+00 2.10880000e-02 1.31100000e-04
3.99215000e+00 2.13018000e-02 1.32000000e-04
4.01202000e+00 2.14189000e-02 1.35900000e-04
4.03178000e+00 2.14119000e-02 1.36000000e-04
4.05145000e+00 2.13695000e-02 1.35800000e-04
4.07101000e+00 2.11551000e-02 1.38000000e-04
4.09048000e+00 2.11990000e-02 1.41300000e-04
4.10985000e+00 2.08295000e-02 1.45700000e-04
4.12913000e+00 2.10313000e-02 1.43600000e-04
4.14831000e+00 2.11223000e-02 1.44100000e-04
4.16740000e+00 2.13870000e-02 1.45700000e-04
4.18640000e+00 2.12814000e-02 1.46700000e-04
4.20530000e+00 2.15333000e-02 1.50600000e-04
4.22412000e+00 2.18501000e-02 1.50400000e-04
4.24285000e+00 2.19267000e-02 1.51800000e-04
4.26149000e+00 2.23747000e-02 1.53500000e-04
4.28005000e+00 2.24901000e-02 1.54600000e-04
4.29852000e+00 2.24815000e-02 1.56200000e-04
4.31690000e+00 2.25534000e-02 1.59300000e-04
4.33521000e+00 2.25417000e-02 1.60200000e-04
4.35343000e+00 2.27630000e-02 1.64200000e-04
4.37157000e+00 2.26557000e-02 1.68200000e-04
4.38963000e+00 2.26735000e-02 1.69000000e-04
4.40761000e+00 2.26739000e-02 1.72600000e-04
4.42552000e+00 2.27389000e-02 1.73100000e-04
4.44335000e+00 2.23932000e-02 1.75200000e-04
4.46110000e+00 2.18090000e-02 1.74700000e-04
4.47877000e+00 2.22239000e-02 1.78300000e-04
4.49637000e+00 2.22644000e-02 1.78700000e-04
4.51390000e+00 2.17991000e-02 1.81400000e-04
4.53136000e+00 2.15768000e-02 1.83900000e-04
4.54874000e+00 2.19939000e-02 1.88900000e-04
4.56605000e+00 2.17339000e-02 1.90000000e-04
4.58759000e+00 2.16542000e-02 1.57500000e-04
4.61330000e+00 2.15699000e-02 1.62600000e-04
4.63885000e+00 2.14932000e-02 1.60400000e-04
4.66425000e+00 2.14693000e-02 1.62000000e-04
4.68950000e+00 2.15992000e-02 1.64400000e-04
4.71461000e+00 2.17604000e-02 1.68300000e-04
4.73957000e+00 2.16413000e-02 1.72300000e-04
4.76438000e+00 2.16688000e-02 1.69900000e-04
4.78906000e+00 2.16530000e-02 1.70200000e-04
4.81360000e+00 2.16525000e-02 1.77800000e-04
4.83801000e+00 2.14724000e-02 1.85400000e-04
4.86228000e+00 2.15493000e-02 1.82700000e-04
4.88642000e+00 2.14418000e-02 1.81000000e-04
4.91043000e+00 2.13038000e-02 1.89200000e-04
4.93431000e+00 2.14796000e-02 1.90800000e-04
4.95806000e+00 2.15849000e-02 1.92000000e-04
4.98169000e+00 2.14684000e-02 1.92100000e-04
5.00520000e+00 2.13109000e-02 1.98500000e-04
5.03247000e+00 2.11256000e-02 1.73600000e-04
5.06344000e+00 2.15314000e-02 1.77200000e-04
5.09420000e+00 2.12889000e-02 1.88000000e-04
5.12476000e+00 2.13304000e-02 1.84800000e-04
5.15511000e+00 2.14710000e-02 1.90000000e-04
5.18527000e+00 2.12517000e-02 1.94500000e-04
5.21524000e+00 2.12887000e-02 1.91000000e-04
5.24501000e+00 2.15143000e-02 1.98300000e-04
5.27460000e+00 2.14526000e-02 1.98200000e-04
5.30766000e+00 2.12378000e-02 1.84500000e-04
5.34413000e+00 2.11674000e-02 2.09600000e-04
