CENTRALWAVELNG,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2
4.07101,2.11551,0.0138,-0.0138
4.09048,2.1199,0.01413,-0.01413
4.10985,2.08295,0.01457,-0.01457
4.12913,2.10313,0.01436,-0.01436
4.14831,2.11223,0.01441,-0.01441
4.1674,2.1387,0.01457,-0.01457
4.1864,2.12814,0.01467,-0.01467
4.2053,2.15333,0.01506,-0.01506
4.22412,2.18501,0.01504,-0.01504
4.24285,2.19267,0.01518,-0.01518
4.26149,2.23747,0.01535,-0.01535
4.28005,2.24901,0.01546,-0.01546
4.29852,2.24815,0.01562,-0.01562
4.3169,2.25534,0.01593,-0.01593
4.33521,2.25417,0.01602,-0.01602
4.35343,2.2763,0.01642,-0.01642
4.37157,2.26557,0.01682,-0.01682
4.38963,2.26735,0.0169,-0.0169
4.40761,2.26739,0.01726,-0.01726
4.42552,2.27389,0.01731,-0.01731
4.44335,2.23932,0.01752,-0.01752
4.4611,2.1809,0.01747,-0.01747
4.47877,2.22239,0.01783,-0.01783
4.49637,2.22644,0.01787,-0.01787
4.5139,2.17991,0.01814,-0.01814
4.53136,2.15768,0.01839,-0.01839
4.54874,2.19939,0.01889,-0.01889
4.56605,2.17339,0.019,-0.019
4.58759,2.16542,0.01575,-0.01575
4.6133,2.15699,0.01626,-0.01626
4.63885,2.14932,0.01604,-0.01604
4.66425,2.14693,0.0162,-0.0162
4.6895,2.15992,0.01644,-0.01644
4.71461,2.17604,0.01683,-0.01683
4.73957,2.16413,0.01723,-0.01723
4.76438,2.16688,0.01699,-0.01699
4.78906,2.1653,0.01702,-0.01702
4.8136,2.16525,0.01778,-0.01778
4.83801,2.14724,0.01854,-0.01854
4.86228,2.15493,0.01827,-0.01827
4.88642,2.14418,0.0181,-0.0181
4.91043,2.13038,0.01892,-0.01892
4.93431,2.14796,0.01908,-0.01908
4.95806,2.15849,0.0192,-0.0192
4.98169,2.14684,0.01921,-0.01921
5.0052,2.13109,0.01985,-0.01985
5.03247,2.11256,0.01736,-0.01736
5.06344,2.15314,0.01772,-0.01772
5.0942,2.12889,0.0188,-0.0188
5.12476,2.13304,0.01848,-0.01848
5.15511,2.1471,0.019,-0.019
5.18527,2.12517,0.01945,-0.01945
5.21524,2.12887,0.0191,-0.0191
5.24501,2.15143,0.01983,-0.01983
5.2746,2.14526,0.01982,-0.01982
5.30766,2.12378,0.01845,-0.01845
5.34413,2.11674,0.02096,-0.02096
